run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 3; 15; 8; 1024; 0.43274; 0.00296; 0.00019; 0.05698;  0.31759; 0.00104;  0.00104; 0.00005 ;  63876.565361 ; 5.275530 ;
 4; 15; 8; 1024; 0.43263; 0.00291; 0.00019; 0.05757;  0.32134; 0.00105;  0.00105; 0.00005 ;  64085.052958 ; 5.332215 ;
 0; 15; 8; 2048; 1.43710; 0.00289; 0.00019; 0.05732;  0.32471; 0.00202;  0.00202; 0.00002 ;  63689.311049 ; 6.403199 ;
 1; 15; 8; 2048; 1.43746; 0.00296; 0.00019; 0.05764;  0.32488; 0.00202;  0.00202; 0.00004 ;  62614.046196 ; 6.406477 ;
 2; 15; 8; 2048; 1.43691; 0.00313; 0.00019; 0.05791;  0.32408; 0.00202;  0.00202; 0.00002 ;  63600.552207 ; 6.394541 ;
 3; 15; 8; 2048; 1.43722; 0.00279; 0.00019; 0.05735;  0.32411; 0.00202;  0.00202; 0.00002 ;  63082.380073 ; 6.394262 ;
 4; 15; 8; 2048; 1.43731; 0.00292; 0.00019; 0.05807;  0.32829; 0.00204;  0.00204; 0.00003 ;  62742.895826 ; 6.457980 ;
 0; 15; 8; 4096; 3.51285; 0.00302; 0.00019; 0.05778;  0.37781; 0.00399;  0.00399; 0.00003 ;  62618.588415 ; 9.309796 ;
 1; 15; 8; 4096; 3.50936; 0.00284; 0.00020; 0.05815;  0.38100; 0.00403;  0.00403; 0.00002 ;  62769.016883 ; 9.354921 ;
 2; 15; 8; 4096; 3.51025; 0.00316; 0.00020; 0.05861;  0.38019; 0.00403;  0.00403; 0.00002 ;  63217.156476 ; 9.344751 ;
 3; 15; 8; 4096; 3.50640; 0.00283; 0.00020; 0.05848;  0.38185; 0.00404;  0.00404; 0.00004 ;  62753.454463 ; 9.365223 ;
