run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
 23; 15; 2; 2048; 0.00182; 3.89914; 0.00001; 0.37474;  4.528333e-06; 7.953400e-06; 96.78706;  101.063045 ;  
 24; 15; 2; 2048; 0.00187; 3.90134; 0.00001; 0.37655;  4.473133e-06; 7.895733e-06; 96.78826;  101.068319 ;  
 25; 15; 2; 2048; 0.00198; 3.89902; 0.00001; 0.37450;  4.298267e-06; 8.489733e-06; 97.20604;  101.481836 ;  
 26; 15; 2; 2048; 0.00191; 3.89939; 0.00002; 0.37515;  6.915867e-06; 8.524600e-06; 96.79972;  101.076498 ;  
 27; 15; 2; 2048; 0.00248; 3.90068; 0.00001; 0.37504;  4.334467e-06; 7.733867e-06; 97.14377;  101.422260 ;  
 28; 15; 2; 2048; 0.00191; 3.90078; 0.00001; 0.37489;  4.443667e-06; 7.759733e-06; 96.62315;  100.901012 ;  
 29; 15; 2; 2048; 0.00193; 3.90001; 0.00001; 0.37559;  4.245333e-06; 7.826200e-06; 96.93207;  101.209869 ;  
 0; 15; 2; 4096; 0.00248; 8.57132; 0.00001; 0.37765;  4.691600e-06; 8.055467e-06; 109.49846;  118.450193 ;  
 1; 15; 2; 4096; 0.00256; 8.57413; 0.00002; 0.37743;  4.349600e-06; 7.559333e-06; 109.51629;  118.470687 ;  
 2; 15; 2; 4096; 0.00206; 8.57824; 0.00002; 0.37929;  4.659733e-06; 8.081667e-06; 109.12186;  118.081762 ;  
 3; 15; 2; 4096; 0.00209; 8.56210; 0.00002; 0.37856;  4.812867e-06; 7.943333e-06; 109.29273;  118.235787 ;  
 4; 15; 2; 4096; 0.00203; 8.57638; 0.00002; 0.37731;  4.543333e-06; 7.834000e-06; 108.79115;  117.747159 ;  
 5; 15; 2; 4096; 0.00206; 8.56886; 0.00002; 0.37856;  5.177333e-06; 8.925400e-06; 108.88471;  117.834503 ;  
 6; 15; 2; 4096; 0.00205; 8.56693; 0.00002; 0.38253;  4.578733e-06; 7.949867e-06; 109.59783;  118.549638 ;  
 7; 15; 2; 4096; 0.00240; 8.57542; 0.00002; 0.37813;  4.696400e-06; 8.451867e-06; 109.41573;  118.371997 ;  
 8; 15; 2; 4096; 0.00218; 8.57492; 0.00002; 0.37828;  4.381333e-06; 7.929200e-06; 109.54429;  118.499971 ;  
 9; 15; 2; 4096; 0.00237; 8.57402; 0.00002; 0.37860;  4.469067e-06; 7.876800e-06; 109.06045;  118.015741 ;  
 10; 15; 2; 4096; 0.01691; 8.57769; 0.00002; 0.37918;  4.703267e-06; 8.922000e-06; 0.04666;  9.020762 ;  
 11; 15; 2; 4096; 0.00003; 0.01245; 0.00000; 0.00000;  2.300667e-07; 4.178000e-07; 0.00000;  0.012504 ;  
